material number,plant code,revision level,description,quantity,base unit,color
PN999,P01,A,Bracket,1,EA,Silver
PN1001,P01,A,Bracket,1,EA,Silver
PN1002,P02,B,Bolt,3,EA,Zinc
PN1003,P03,C,Washer,3,EA,Steel
PN1004,P01,A,Nut,4,EA,Black
PN1005,P02,B,Screw,5,EA,Gray
PN1006,P03,C,Pin,6,EA,Natural
PN1007,P01,A,Clip,7,EA,Brass
PN1008,P02,B,Gasket,8,EA,Chrome
PN1009,P03,C,Seal,9,EA,Silver
PN1010,P01,A,Bushing,10,EA,Zinc
PN1011,P02,B,Spacer,11,EA,Steel
PN1012,P03,C,Shim,12,EA,Black
PN1013,P01,A,Plate,13,EA,Gray
PN1014,P02,B,Cover,14,EA,Natural
PN1015,P03,C,Housing,15,EA,Brass
PN1016,P01,A,Shaft,16,EA,Chrome
PN1017,P02,B,Gear,17,EA,Silver
PN1018,P03,C,Bearing,18,EA,Zinc
PN1019,P01,A,Spring,19,EA,Steel
PN1020,P02,B,Grommet,20,EA,Black
PN1021,P03,C,Plug,21,EA,Gray
PN1022,P01,A,Cap,22,EA,Natural
PN1023,P02,B,Filter,23,EA,Brass
PN1024,P03,C,Valve,24,EA,Chrome
PN1025,P01,A,Bracket,25,EA,Silver
PN1026,P02,B,Bolt,26,EA,Zinc
PN1027,P03,C,Washer,27,EA,Steel
PN1028,P01,A,Nut,28,EA,Black
PN1029,P02,B,Screw,29,EA,Gray
PN1030,P03,C,Pin,30,EA,Natural
PN1031,P01,A,Clip,31,EA,Brass
PN1032,P02,B,Gasket,32,EA,Chrome
PN1033,P03,C,Seal,33,EA,Silver
PN1034,P01,A,Bushing,34,EA,Zinc
PN1035,P02,B,Spacer,35,EA,Steel
PN1036,P03,C,Shim,36,EA,Black
PN1037,P01,A,Plate,37,EA,Gray
PN1038,P02,B,Cover,38,EA,Natural
PN1039,P03,C,Housing,39,EA,Brass
PN1040,P01,A,Shaft,40,EA,Chrome
PN1041,P02,B,Gear,41,EA,Silver
PN1042,P03,C,Bearing,42,EA,Zinc
PN1043,P01,A,Spring,43,EA,Steel
PN1044,P02,B,Grommet,44,EA,Black
PN1045,P03,C,Plug,45,EA,Gray
PN1046,P01,A,Cap,46,EA,Natural
PN1047,P02,B,Filter,47,EA,Brass
PN1048,P03,C,Valve,48,EA,Chrome
PN1049,P01,A,Bracket,49,EA,Silver
PN1050,P02,B,Bolt,50,EA,Zinc
PN1051,P03,C,Washer,51,EA,Steel
PN1052,P01,A,Nut,52,EA,Black
PN1053,P02,B,Screw,53,EA,Gray
PN1054,P03,C,Pin,54,EA,Natural
PN1055,P01,A,Clip,55,EA,Brass
PN1056,P02,B,Gasket,56,EA,Chrome
PN1057,P03,C,Seal,57,EA,Silver
PN1058,P01,A,Bushing,58,EA,Zinc
PN1059,P02,B,Spacer,59,EA,Steel
PN1060,P03,C,Shim,60,EA,Black
PN1061,P01,A,Plate,61,EA,Gray
PN1062,P02,B,Cover,62,EA,Natural
PN1063,P03,C,Housing,63,EA,Brass
PN1064,P01,A,Shaft,64,EA,Chrome
PN1065,P02,B,Gear,65,EA,Silver
PN1066,P03,C,Bearing,66,EA,Zinc
PN1067,P01,A,Spring,67,EA,Steel
PN1068,P02,B,Grommet,68,EA,Black
PN1069,P03,C,Plug,69,EA,Gray
PN1070,P01,A,Cap,70,EA,Natural
PN1071,P02,B,Filter,71,EA,Brass
PN1072,P03,C,Valve,72,EA,Chrome
PN1073,P01,A,Bracket,73,EA,Silver
PN1074,P02,B,Bolt,74,EA,Zinc
PN1075,P03,C,Washer,75,EA,Steel
PN1076,P01,A,Nut,76,EA,Black
PN1077,P02,B,Screw,77,EA,Gray
PN1078,P03,C,Pin,78,EA,Natural
PN1079,P01,A,Clip,79,EA,Brass
PN1080,P02,B,Gasket,80,EA,Chrome
PN1081,P03,C,Seal,81,EA,Silver
PN1082,P01,A,Bushing,82,EA,Zinc
PN1083,P02,B,Spacer,83,EA,Steel
PN1084,P03,C,Shim,84,EA,Black
PN1085,P01,A,Plate,85,EA,Gray
PN1086,P02,B,Cover,86,EA,Natural
PN1087,P03,C,Housing,87,EA,Brass
PN1088,P01,A,Shaft,88,EA,Chrome
PN1089,P02,B,Gear,89,EA,Silver
PN1090,P03,C,Bearing,90,EA,Zinc
PN1091,P01,A,Spring,91,EA,Steel
PN1092,P02,B,Grommet,92,EA,Black
PN1093,P03,C,Plug,93,EA,Gray
PN1094,P01,A,Cap,94,EA,Natural
PN1095,P02,B,Filter,95,EA,Brass
PN1096,P03,C,Valve,96,EA,Chrome
PN1097,P01,A,Bracket,97,EA,Silver
PN1098,P02,B,Bolt,98,EA,Zinc
PN1099,P03,C,Washer,99,EA,Steel
PN1100,P01,A,Nut,1,EA,Black
PN1101,P02,B,Screw,3,EA,Gray
PN1102,P03,C,Pin,3,EA,Natural
PN1103,P01,A,Clip,4,EA,Brass
PN1104,P02,B,Gasket,5,EA,Chrome
PN1105,P03,C,Seal,6,EA,Silver
PN1106,P01,A,Bushing,7,EA,Zinc
PN1107,P02,B,Spacer,8,EA,Steel
PN1108,P03,C,Shim,9,EA,Black
PN1109,P01,A,Plate,10,EA,Gray
PN1110,P02,B,Cover,11,EA,Natural
PN1111,P03,C,Housing,12,EA,Brass
PN1112,P01,A,Shaft,13,EA,Chrome
PN1113,P02,B,Gear,14,EA,Silver
PN1114,P03,C,Bearing,15,EA,Zinc
PN1115,P01,A,Spring,16,EA,Steel
PN1116,P02,B,Grommet,17,EA,Black
PN1117,P03,C,Plug,18,EA,Gray
PN1118,P01,A,Cap,19,EA,Natural
PN1119,P02,B,Filter,20,EA,Brass
PN1120,P03,C,Valve,21,EA,Chrome
PN1121,P01,A,Bracket,22,EA,Silver
PN1122,P02,B,Bolt,23,EA,Zinc
PN1123,P03,C,Washer,24,EA,Steel
PN1124,P01,A,Nut,25,EA,Black
PN1125,P02,B,Screw,26,EA,Gray
PN1126,P03,C,Pin,27,EA,Natural
PN1127,P01,A,Clip,28,EA,Brass
PN1128,P02,B,Gasket,29,EA,Chrome
PN1129,P03,C,Seal,30,EA,Silver
PN1130,P01,A,Bushing,31,EA,Zinc
PN1131,P02,B,Spacer,32,EA,Steel
PN1132,P03,C,Shim,33,EA,Black
PN1133,P01,A,Plate,34,EA,Gray
PN1134,P02,B,Cover,35,EA,Natural
PN1135,P03,C,Housing,36,EA,Brass
PN1136,P01,A,Shaft,37,EA,Chrome
PN1137,P02,B,Gear,38,EA,Silver
PN1138,P03,C,Bearing,39,EA,Zinc
PN1139,P01,A,Spring,40,EA,Steel
PN1140,P02,B,Grommet,41,EA,Black
PN1141,P03,C,Plug,42,EA,Gray
PN1142,P01,A,Cap,43,EA,Natural
PN1143,P02,B,Filter,44,EA,Brass
PN1144,P03,C,Valve,45,EA,Chrome
PN1145,P01,A,Bracket,46,EA,Silver
PN1146,P02,B,Bolt,47,EA,Zinc
PN1147,P03,C,Washer,48,EA,Steel
PN1148,P01,A,Nut,49,EA,Black
PN1149,P02,B,Screw,50,EA,Gray
PN1150,P03,C,Pin,51,EA,Natural
PN1151,P01,A,Clip,52,EA,Brass
PN1152,P02,B,Gasket,53,EA,Chrome
PN1153,P03,C,Seal,54,EA,Silver
PN1154,P01,A,Bushing,55,EA,Zinc
PN1155,P02,B,Spacer,56,EA,Steel
PN1156,P03,C,Shim,57,EA,Black
PN1157,P01,A,Plate,58,EA,Gray
PN1158,P02,B,Cover,59,EA,Natural
PN1159,P03,C,Housing,60,EA,Brass
PN1160,P01,A,Shaft,61,EA,Chrome
PN1161,P02,B,Gear,62,EA,Silver
PN1162,P03,C,Bearing,63,EA,Zinc
